"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label","Lon","Lat","Season"
21,"Tyler Poulsen","SO","F","Arvada, Colorado","Alabama-Huntsville","arvada colorado","Alabama-Huntsville: 21 Tyler Poulsen - Arvada, Colorado (SO-F)",-105.0874842,39.8027644,20162017
22,"Matt Salhany","SR","F","Warwick, Rhode Island","Alabama-Huntsville","warwick rhode island","Alabama-Huntsville: 22 Matt Salhany - Warwick, Rhode Island (SR-F)",-71.4161671,41.7001009,20162017
23,"Cody Marooney","SR","F","Eden Prairie, Minnesota","Alabama-Huntsville","eden prairie minnesota","Alabama-Huntsville: 23 Cody Marooney - Eden Prairie, Minnesota (SR-F)",-93.470786,44.8546856,20162017
24,"Brennan Saulnier","JR","F","Halifax, Nova Scotia","Alabama-Huntsville","halifax nova scotia","Alabama-Huntsville: 24 Brennan Saulnier - Halifax, Nova Scotia (JR-F)",-63.5752387,44.6487635,20162017
25,"Adam Wilcox","SO","F","Alpharetta, Georgia","Alabama-Huntsville","alpharetta georgia","Alabama-Huntsville: 25 Adam Wilcox - Alpharetta, Georgia (SO-F)",-84.2940899,34.0753762,20162017
26,"Josh Kestner","JR","F","Huntsville, Alabama","Alabama-Huntsville","huntsville alabama","Alabama-Huntsville: 26 Josh Kestner - Huntsville, Alabama (JR-F)",-86.5861037,34.7303688,20162017
28,"Kurt Gosselin","SO","D","Brighton, Michigan","Alabama-Huntsville","brighton michigan","Alabama-Huntsville: 28 Kurt Gosselin - Brighton, Michigan (SO-D)",-83.7802214,42.5294773,20162017
30,"Matt Larose","SR","G","Nainaimo, British Columbia","Alabama-Huntsville","nainaimo british columbia","Alabama-Huntsville: 30 Matt Larose - Nainaimo, British Columbia (SR-G)",-123.9400647,49.1658836,20162017
32,"Jordan Uhelski","JR","G","Flint, Michigan","Alabama-Huntsville","flint michigan","Alabama-Huntsville: 32 Jordan Uhelski - Flint, Michigan (JR-G)",-83.6874562,43.0125274,20162017
33,"Richard Buri","JR","D","Nitra, Slovakia","Alabama-Huntsville","nitra slovakia","Alabama-Huntsville: 33 Richard Buri - Nitra, Slovakia (JR-D)",18.076376,48.3061414,20162017
35,"Carmine Guerriero","SR","G","Montr<U+FFFD>al, Quebec","Alabama-Huntsville","montreal quebec","Alabama-Huntsville: 35 Carmine Guerriero - Montr<U+FFFD>al, Quebec (SR-G)",-73.567256,45.5016889,20162017
41,"Brandon Carlson","SR","D","Huntington Beach, California","Alabama-Huntsville","huntington beach california","Alabama-Huntsville: 41 Brandon Carlson - Huntington Beach, California (SR-D)",-117.9992265,33.660297,20162017
1,"Niko DellaMaggiore","FR","G","Gilroy, California","Alaska","gilroy california","Alaska: 01 Niko DellaMaggiore - Gilroy, California (FR-G)",-121.5682751,37.0057816,20162017
2,"Jack Weiss","SO","D","Bloomington, Minnesota","Alaska","bloomington minnesota","Alaska: 02 Jack Weiss - Bloomington, Minnesota (SO-D)",-93.2982799,44.840798,20162017
5,"Nikolas Koberstein","SO","D","Barrhead, Alberta","Alaska","barrhead alberta","Alaska: 05 Nikolas Koberstein - Barrhead, Alberta (SO-D)",-114.4016742,54.1230722,20162017
6,"Zach Frye","JR","D","Spokane, Washington","Alaska","spokane washington","Alaska: 06 Zach Frye - Spokane, Washington (JR-D)",-117.4260466,47.6587802,20162017
7,"Josh Erickson","SR","LW","Roseau, Minnesota","Alaska","roseau minnesota","Alaska: 07 Josh Erickson - Roseau, Minnesota (SR-LW)",-95.762766,48.8460926,20162017
8,"Justin Woods","JR","D","Fairbanks, Alaska","Alaska","fairbanks alaska","Alaska: 08 Justin Woods - Fairbanks, Alaska (JR-D)",-147.7163889,64.8377778,20162017
9,"Marcus Basara","SR","RW","Port Moody, British Columbia","Alaska","port moody british columbia","Alaska: 09 Marcus Basara - Port Moody, British Columbia (SR-RW)",-122.8677562,49.2849107,20162017
10,"Danny Kiraly","FR","D","Glendale, Arizona","Alaska","glendale arizona","Alaska: 10 Danny Kiraly - Glendale, Arizona (FR-D)",-112.1859866,33.5386523,20162017
12,"Nick Hinz","JR","D","Oakdale, Minnesota","Alaska","oakdale minnesota","Alaska: 12 Nick Hinz - Oakdale, Minnesota (JR-D)",-92.9649361,44.9630216,20162017
13,"Austin Vieth","JR","C/LW","Marinette, Wisconsin","Alaska","marinette wisconsin","Alaska: 13 Austin Vieth - Marinette, Wisconsin (JR-C/LW)",-87.6306623,45.0999849,20162017
14,"Brandon Morley","SR","LW","Burnaby, British Columbia","Alaska","burnaby british columbia","Alaska: 14 Brandon Morley - Burnaby, British Columbia (SR-LW)",-122.9805104,49.2488091,20162017
15,"Troy Van Tetering","FR","LW","Carstairs, Alberta","Alaska","carstairs alberta","Alaska: 15 Troy Van Tetering - Carstairs, Alberta (FR-LW)",-114.0985975,51.5649396,20162017
16,"Tayler Munson","JR","C/RW","Fairbanks, Alaska","Alaska","fairbanks alaska","Alaska: 16 Tayler Munson - Fairbanks, Alaska (JR-C/RW)",-147.7163889,64.8377778,20162017
17,"Kyle Froese *","JR","D","Traverse City, Michigan","Alaska","traverse city michigan","Alaska: 17 Kyle Froese * - Traverse City, Michigan (JR-D)",-85.6206317,44.7630567,20162017
18,"John Mullally","SO","LW","Timberlea, Nova Scotia","Alaska","timberlea nova scotia","Alaska: 18 John Mullally - Timberlea, Nova Scotia (SO-LW)",-63.740311,44.659889,20162017
22,"Chad Staley","SO","C","Kennewick, Washington","Alaska","kennewick washington","Alaska: 22 Chad Staley - Kennewick, Washington (SO-C)",-119.1372338,46.2112458,20162017
23,"Ryker Leer","SO","LW","Red Deer, Alberta","Alaska","red deer alberta","Alaska: 23 Ryker Leer - Red Deer, Alberta (SO-LW)",-113.8112386,52.2681118,20162017
24,"James LaDouce","FR","D","Saginaw, Michigan","Alaska","saginaw michigan","Alaska: 24 James LaDouce - Saginaw, Michigan (FR-D)",-83.9508068,43.4194699,20162017
25,"Aaron Herdt","FR","C/LW","Moorhead, Minnesota","Alaska","moorhead minnesota","Alaska: 25 Aaron Herdt - Moorhead, Minnesota (FR-C/LW)",-96.7678039,46.8737648,20162017
26,"Tyler Cline","FR","LW","Blaine, Minnesota","Alaska","blaine minnesota","Alaska: 26 Tyler Cline - Blaine, Minnesota (FR-LW)",-93.2349489,45.1607987,20162017
27,"Colton Leiter","FR","C","Edmonton, Alberta","Alaska","edmonton alberta","Alaska: 27 Colton Leiter - Edmonton, Alberta (FR-C)",-113.4909267,53.544389,20162017
28,"Kylar Hope","FR","RW","Lashburn, Saskatchewan","Alaska","lashburn saskatchewan","Alaska: 28 Kylar Hope - Lashburn, Saskatchewan (FR-RW)",-109.6134782,53.1257489,20162017
29,"Jesse Jenks","SO","G","Crofton, British Columbia","Alaska","crofton british columbia","Alaska: 29 Jesse Jenks - Crofton, British Columbia (SO-G)",-123.6457977,48.863844,20162017
30,"Davis Jones","SR","G","St. Albert, Alberta","Alaska","st albert alberta","Alaska: 30 Davis Jones - St. Albert, Alberta (SR-G)",-113.625642,53.6304753,20162017
32,"Tristan Thompson","FR","D","Canmore, Alberta","Alaska","canmore alberta","Alaska: 32 Tristan Thompson - Canmore, Alberta (FR-D)",-115.3599592,51.0747378,20162017
33,"Anton Martinsson","FR","G","Klippan, Sweden","Alaska","klippan sweden","Alaska: 33 Anton Martinsson - Klippan, Sweden (FR-G)",13.1290409,56.1348998,20162017
37,"Jordan Burns","SO","D","Vernon, British Columbia","Alaska","vernon british columbia","Alaska: 37 Jordan Burns - Vernon, British Columbia (SO-D)",-119.2720107,50.2670137,20162017
39,"Ross Heidt","FR","RW","Red Deer, Alberta","Alaska","red deer alberta","Alaska: 39 Ross Heidt - Red Deer, Alberta (FR-RW)",-113.8112386,52.2681118,20162017
2,"Chase Van Allen","SR","D","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 02 Chase Van Allen - Anchorage, Alaska (SR-D)",-149.9002778,61.2180556,20162017
3,"Eric Roberts","SO","D","Abbotsford, British Columbia","Alaska-Anchorage","abbotsford british columbia","Alaska-Anchorage: 03 Eric Roberts - Abbotsford, British Columbia (SO-D)",-122.3044697,49.0504377,20162017
4,"Tanner Johnson","JR","D","Castlegar, British Columbia","Alaska-Anchorage","castlegar british columbia","Alaska-Anchorage: 04 Tanner Johnson - Castlegar, British Columbia (JR-D)",-117.6593341,49.3237408,20162017
6,"Jarrett Brown","JR","D","Beaumont, Alberta","Alaska-Anchorage","beaumont alberta","Alaska-Anchorage: 06 Jarrett Brown - Beaumont, Alberta (JR-D)",-113.4153735,53.3524256,20162017
7,"Nolan Nicholas","FR","D","Thunder Bay, Ontario","Alaska-Anchorage","thunder bay ontario","Alaska-Anchorage: 07 Nolan Nicholas - Thunder Bay, Ontario (FR-D)",-89.2476823,48.3808951,20162017
8,"Mason Mitchell","SO","F","Calgary, Alberta","Alaska-Anchorage","calgary alberta","Alaska-Anchorage: 08 Mason Mitchell - Calgary, Alberta (SO-F)",-114.0708459,51.0486151,20162017
10,"Nicolas Erb-Ekholm","SO","F","Malm<U+FFFD>, Sweden","Alaska-Anchorage","malmo sweden","Alaska-Anchorage: 10 Nicolas Erb-Ekholm - Malm<U+FFFD>, Sweden (SO-F)",13.003822,55.604981,20162017
11,"Austin Azurdia","JR","F","Wenatchee, Washington","Alaska-Anchorage","wenatchee washington","Alaska-Anchorage: 11 Austin Azurdia - Wenatchee, Washington (JR-F)",-120.3103494,47.4234599,20162017
12,"Nils Rygaard","SO","F","Norrkoping, Sweden","Alaska-Anchorage","norrkoping sweden","Alaska-Anchorage: 12 Nils Rygaard - Norrkoping, Sweden (SO-F)",16.192421,58.587745,20162017
13,"Dylan Hubbs","SR","F","Beaumont, Alberta","Alaska-Anchorage","beaumont alberta","Alaska-Anchorage: 13 Dylan Hubbs - Beaumont, Alberta (SR-F)",-113.4153735,53.3524256,20162017
15,"Mason Anderson","FR","D","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 15 Mason Anderson - Anchorage, Alaska (FR-D)",-149.9002778,61.2180556,20162017
16,"Connor Wright","SR","F","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 16 Connor Wright - Anchorage, Alaska (SR-F)",-149.9002778,61.2180556,20162017
17,"Matt Anholt","JR","F","Prince Albert, Saskatchewan","Alaska-Anchorage","prince albert saskatchewan","Alaska-Anchorage: 17 Matt Anholt - Prince Albert, Saskatchewan (JR-F)",-105.7530705,53.2033494,20162017
18,"Brad Duwe","SR","F","Soldotna, Alaska","Alaska-Anchorage","soldotna alaska","Alaska-Anchorage: 18 Brad Duwe - Soldotna, Alaska (SR-F)",-151.0583332,60.4877778,20162017
19,"Alex Jackstadt","SO","F","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 19 Alex Jackstadt - Anchorage, Alaska (SO-F)",-149.9002778,61.2180556,20162017
20,"Nathan Renouf","SO","F","Mississauga, Ontario","Alaska-Anchorage","mississauga ontario","Alaska-Anchorage: 20 Nathan Renouf - Mississauga, Ontario (SO-F)",-79.6441198,43.5890452,20162017
21,"Tad Kozun","JR","F","Nipawin, Saskatchewan","Alaska-Anchorage","nipawin saskatchewan","Alaska-Anchorage: 21 Tad Kozun - Nipawin, Saskatchewan (JR-F)",-104.0130053,53.3623525,20162017
23,"Tomi Hiekkavirta","FR","D","Helsinki, Finland","Alaska-Anchorage","helsinki finland","Alaska-Anchorage: 23 Tomi Hiekkavirta - Helsinki, Finland (FR-D)",24.938379,60.1698557,20162017
25,"Jonah Renouf","SO","F","Mississauga, Ontario","Alaska-Anchorage","mississauga ontario","Alaska-Anchorage: 25 Jonah Renouf - Mississauga, Ontario (SO-F)",-79.6441198,43.5890452,20162017
26,"Corey Renwick","FR","F","Nanoose Bay, British Columbia","Alaska-Anchorage","nanoose bay british columbia","Alaska-Anchorage: 26 Corey Renwick - Nanoose Bay, British Columbia (FR-F)",-124.1930531,49.2723165,20162017
27,"Jeremiah Luedtke","SO","F","Lynnwood, Washington","Alaska-Anchorage","lynnwood washington","Alaska-Anchorage: 27 Jeremiah Luedtke - Lynnwood, Washington (SO-F)",-122.3151313,47.8209301,20162017
28,"Cam Amantea","SO","F","Calgary, Alberta","Alaska-Anchorage","calgary alberta","Alaska-Anchorage: 28 Cam Amantea - Calgary, Alberta (SO-F)",-114.0708459,51.0486151,20162017
29,"Sean MacTavish","SO","F","Edmonton, Alberta","Alaska-Anchorage","edmonton alberta","Alaska-Anchorage: 29 Sean MacTavish - Edmonton, Alberta (SO-F)",-113.4909267,53.544389,20162017
31,"Rasmus Reijola","SR","G","Espoo, Finland","Alaska-Anchorage","espoo finland","Alaska-Anchorage: 31 Rasmus Reijola - Espoo, Finland (SR-G)",24.6559001,60.2054911,20162017
33,"Olivier Mantha","JR","G","La Tuque, Quebec","Alaska-Anchorage","la tuque quebec","Alaska-Anchorage: 33 Olivier Mantha - La Tuque, Quebec (JR-G)",-72.7839311,47.4383405,20162017
37,"David Trinkberger","FR","D","Landshut, Germany","Alaska-Anchorage","landshut germany","Alaska-Anchorage: 37 David Trinkberger - Landshut, Germany (FR-D)",12.1468532,48.5441917,20162017
1,"Zackarias Skog","FR","G","G<U+FFFD>teborg, Sweden","American International","gothenburg sweden","American International: 01 Zackarias Skog - G<U+FFFD>teborg, Sweden (FR-G)",11.97456,57.70887,20162017
2,"Nicolas Luka","FR","D","Bartlett, Illinois","American International","bartlett illinois","American International: 02 Nicolas Luka - Bartlett, Illinois (FR-D)",-88.1856301,41.9950276,20162017
3,"Patrik Demel","FR","D","Ostrava, Czech Republic","American International","ostrava czech republic","American International: 03 Patrik Demel - Ostrava, Czech Republic (FR-D)",18.2625243,49.8209226,20162017
4,"Dominic Racobaldo","SR","D","Pennsauken, New Jersey","American International","pennsauken new jersey","American International: 04 Dominic Racobaldo - Pennsauken, New Jersey (SR-D)",-75.058009,39.9562052,20162017
5,"Ryan Polin","SO","D","Holt, Michigan","American International","holt michigan","American International: 05 Ryan Polin - Holt, Michigan (SO-D)",-84.5152545,42.6405912,20162017
7,"Daniel Mele","SR","F","Buffalo, New York","American International","buffalo new york","American International: 07 Daniel Mele - Buffalo, New York (SR-F)",-78.8783689,42.8864468,20162017
9,"Billy Vizzo","FR","F","Shelton, Connecticut","American International","shelton connecticut","American International: 09 Billy Vizzo - Shelton, Connecticut (FR-F)",-73.0931641,41.3164856,20162017
10,"Martin Mellberg","FR","F","Stockholm, Sweden","American International","stockholm sweden","American International: 10 Martin Mellberg - Stockholm, Sweden (FR-F)",18.0685808,59.3293235,20162017
11,"Bryant Christian","JR","F","Moorhead, Minnesota","American International","moorhead minnesota","American International: 11 Bryant Christian - Moorhead, Minnesota (JR-F)",-96.7678039,46.8737648,20162017
12,"Johno May","JR","F","Mahtomedi, Minnesota","American International","mahtomedi minnesota","American International: 12 Johno May - Mahtomedi, Minnesota (JR-F)",-92.9516037,45.0696886,20162017
13,"Hugo Reinhardt","FR","F","Kungsbacka, Sweden","American International","kungsbacka sweden","American International: 13 Hugo Reinhardt - Kungsbacka, Sweden (FR-F)",12.0761927,57.4874919,20162017
14,"Jared Pike","FR","F","Sandy, Utah","American International","sandy utah","American International: 14 Jared Pike - Sandy, Utah (FR-F)",-111.8389726,40.5649781,20162017
15,"Jackson Dudley","JR","F","Edmonton, Alberta","American International","edmonton alberta","American International: 15 Jackson Dudley - Edmonton, Alberta (JR-F)",-113.4909267,53.544389,20162017
17,"Austin Orszulak","SR","F","Springfield, Massachusetts","American International","springfield massachusetts","American International: 17 Austin Orszulak - Springfield, Massachusetts (SR-F)",-72.589811,42.1014831,20162017
18,"Blake Christensen","FR","F","Coral Springs, Florida","American International","coral springs florida","American International: 18 Blake Christensen - Coral Springs, Florida (FR-F)",-80.2706044,26.271192,20162017
19,"Kyle Stephan","FR","F","Banff, Alberta","American International","banff alberta","American International: 19 Kyle Stephan - Banff, Alberta (FR-F)",-115.5707694,51.1783629,20162017
21,"Marc Dubeau","SO","F","St. Lina, Alberta","American International","st lina alberta","American International: 21 Marc Dubeau - St. Lina, Alberta (SO-F)",-111.453286,54.296875,20162017
22,"Dominik Florian","FR","F","Vla<U+009A>im, Czech Republic","American International","vlasim czech republic","American International: 22 Dominik Florian - Vla<U+009A>im, Czech Republic (FR-F)",14.8988102,49.7063276,20162017
23,"Andrew Debrincat","JR","D","Farmington Hills, Michigan","American International","farmington hills michigan","American International: 23 Andrew Debrincat - Farmington Hills, Michigan (JR-D)",-83.3677168,42.4989936,20162017
24,"Joel Kocur","FR","F","Edson, Alberta","American International","edson alberta","American International: 24 Joel Kocur - Edson, Alberta (FR-F)",-116.4428615,53.5855087,20162017
25,"Carson Grolla","SR","D","Trail, British Columbia","American International","trail british columbia","American International: 25 Carson Grolla - Trail, British Columbia (SR-D)",-117.7117301,49.0965676,20162017
26,"Johnny Mueller","SO","D","St. Louis, Missouri","American International","st louis missouri","American International: 26 Johnny Mueller - St. Louis, Missouri (SO-D)",-90.1994042,38.6270025,20162017
28,"Hunter Leisner","SR","G","Dallas, Texas","American International","dallas texas","American International: 28 Hunter Leisner - Dallas, Texas (SR-G)",-96.7969879,32.7766642,20162017
29,"Shawn McBride","SO","F","Victoria, British Columbia","American International","victoria british columbia","American International: 29 Shawn McBride - Victoria, British Columbia (SO-F)",-123.3656444,48.4284207,20162017
30,"Justin Ketola","FR","G","Cloquet, Minnesota","American International","cloquet minnesota","American International: 30 Justin Ketola - Cloquet, Minnesota (FR-G)",-92.4611825,46.7217735,20162017
33,"Alex Murray","JR","G","Burlington, Ontario","American International","burlington ontario","American International: 33 Alex Murray - Burlington, Ontario (JR-G)",-79.7990319,43.3255196,20162017
2,"Drew Newmeyer","SR","D","Scottsdale, Arizona","Arizona State","scottsdale arizona","Arizona State: 02 Drew Newmeyer - Scottsdale, Arizona (SR-D)",-111.9260519,33.4941704,20162017
4,"Edward McGovern","JR","D","Scottsdale, Arizona","Arizona State","scottsdale arizona","Arizona State: 04 Edward McGovern - Scottsdale, Arizona (JR-D)",-111.9260519,33.4941704,20162017
7,"Georgy Gorodetsky","FR","F","Yekaterinburg, Russia","Arizona State","yekaterinburg russia","Arizona State: 07 Georgy Gorodetsky - Yekaterinburg, Russia (FR-F)",60.6057025,56.8389261,20162017
8,"Joe Lappin","SO","F","Geneva, Illinois","Arizona State","geneva illinois","Arizona State: 08 Joe Lappin - Geneva, Illinois (SO-F)",-88.3053525,41.8875281,20162017
9,"Robbie Baillargeon","SR","F","Enfield, Connecticut","Arizona State","enfield connecticut","Arizona State: 09 Robbie Baillargeon - Enfield, Connecticut (SR-F)",-72.5441445,42.0027181,20162017
10,"Tyler Busch","FR","F","Lloydminster, Alberta","Arizona State","lloydminster alberta","Arizona State: 10 Tyler Busch - Lloydminster, Alberta (FR-F)",-110.0061451,53.2779625,20162017
11,"Jack Rowe","SO","F","Cary, Illinois","Arizona State","cary illinois","Arizona State: 11 Jack Rowe - Cary, Illinois (SO-F)",-88.247685,42.2132499,20162017
12,"Dylan Hollman","JR","F","Red Deer, Alberta","Arizona State","red deer alberta","Arizona State: 12 Dylan Hollman - Red Deer, Alberta (JR-F)",-113.8112386,52.2681118,20162017
