"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","GP","G","A","P"
20132014,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,81,22,17,39
20142015,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,52,7,20,27
20152016,"Artem Anisimov","Anisimov","Artem","CHI","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,77,20,22,42
20162017,"Artem Anisimov","Anisimov","Artem","CHI","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,56,21,20,41
20022003,"Nik Antropov","Antropov","Nik","TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,72,16,29,45
20032004,"Nik Antropov","Antropov","Nik","TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,62,13,18,31
20052006,"Nik Antropov","Antropov","Nik","TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,57,12,19,31
20062007,"Nik Antropov","Antropov","Nik","TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,54,18,15,33
20072008,"Nik Antropov","Antropov","Nik","TOR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,72,26,30,56
20082009,"Nik Antropov","Antropov","Nik","TOR, NYR","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,81,28,31,59
20092010,"Nik Antropov","Antropov","Nik","ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,76,24,43,67
20102011,"Nik Antropov","Antropov","Nik","ATL","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,76,16,25,41
20112012,"Nik Antropov","Antropov","Nik","WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,69,15,20,35
20122013,"Nik Antropov","Antropov","Nik","WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,40,6,12,18
20132014,"Darren Archibald","Archibald","Darren","VAN","R","L","1990-02-09","Newmarket","CAN","ON","CAN",75,210,NA,NA,NA,16,1,2,3
20152016,"Josh Archibald","Archibald","Josh","PIT","R","R","1992-10-06","Regina","CAN","SK","CAN",70,176,2011,6,174,1,0,0,0
20162017,"Josh Archibald","Archibald","Josh","PIT","R","R","1992-10-06","Regina","CAN","SK","CAN",70,176,2011,6,174,2,2,0,2
20122013,"Mark Arcobello","Arcobello","Mark","EDM","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,1,0,0,0
20132014,"Mark Arcobello","Arcobello","Mark","EDM","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,41,4,14,18
20142015,"Mark Arcobello","Arcobello","Mark","EDM, NSH, PIT, ARI","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,77,17,14,31
20152016,"Mark Arcobello","Arcobello","Mark","TOR","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,20,3,1,4
20022003,"Denis Arkhipov","Arkhipov","Denis","NSH","C","L","1979-05-19","Kazan","RUS",NA,"RUS",75,215,1998,3,60,79,11,24,35
20032004,"Denis Arkhipov","Arkhipov","Denis","NSH","C","L","1979-05-19","Kazan","RUS",NA,"RUS",75,215,1998,3,60,72,9,12,21
