"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","W","L","Ties","OTL"
20132014,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,5,11,0,2
20142015,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,5,7,0,3
20152016,"Niklas Backstrom","Backstrom","Niklas","CGY","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,2,2,0,0
20022003,"Tom Barrasso","Barrasso","Tom","STL","G","R","1965-03-31","Boston","USA","MA","USA",75,210,1983,1,5,1,4,0,0
20072008,"Chris Beckford-Tseu","Beckford-Tseu","Chris","STL","G","L","1984-06-22","Toronto","CAN","ON","CAN",75,201,2003,5,159,0,0,0,0
20022003,"Ed Belfour","Belfour","Ed","TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,37,20,5,1
20032004,"Ed Belfour","Belfour","Ed","TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,34,19,6,3
20052006,"Ed Belfour","Belfour","Ed","TOR","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,22,22,0,4
20062007,"Ed Belfour","Belfour","Ed","FLA","G","L","1965-04-21","Carman","CAN","MB","CAN",72,214,NA,NA,NA,27,17,0,10
20052006,"Adam Berkhoel","Berkhoel","Adam","ATL","G","L","1981-05-16","StPaul","USA","MN","USA",71,185,2000,8,240,2,4,0,1
20072008,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,1,3,0,0
20092010,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,3,0,0,0
20102011,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,11,8,0,3
20112012,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,5,6,0,2
20122013,"Jonathan Bernier","Bernier","Jonathan","LAK","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,9,3,0,1
20132014,"Jonathan Bernier","Bernier","Jonathan","TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,26,19,0,7
20142015,"Jonathan Bernier","Bernier","Jonathan","TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,21,28,0,7
20152016,"Jonathan Bernier","Bernier","Jonathan","TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,12,21,0,3
20132014,"Reto Berra","Berra","Reto","CGY, COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,9,18,0,3
20142015,"Reto Berra","Berra","Reto","COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,5,4,0,1
20152016,"Reto Berra","Berra","Reto","COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,5,8,0,0
20152016,"Jean-Francois Berube","Berube","Jean-Francois","NYI","G","L","1991-07-13","Repentigny","CAN","QC","CAN",73,177,2009,4,95,3,2,0,1
20022003,"Zac Bierk","Bierk","Zac","PHX","G","L","1976-09-17","Peterborough","CAN","ON","CAN",77,205,1995,9,212,4,9,1,0
20032004,"Zac Bierk","Bierk","Zac","PHX","G","L","1976-09-17","Peterborough","CAN","ON","CAN",77,205,1995,9,212,0,1,2,0
20022003,"Craig Billington","Billington","Craig","WSH","G","L","1966-09-11","London","CAN","ON","CAN",70,168,1984,2,23,1,3,1,0
20152016,"Jordan Binnington","Binnington","Jordan","STL","G","L","1993-07-11","RichmondHill","CAN","ON","CAN",73,167,2011,3,88,0,0,0,0
20022003,"Martin Biron","Biron","Martin","BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,17,28,6,4
20032004,"Martin Biron","Biron","Martin","BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,26,18,5,3
20052006,"Martin Biron","Biron","Martin","BUF","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,21,8,0,3
20062007,"Martin Biron","Biron","Martin","BUF, PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,18,12,0,3
20072008,"Martin Biron","Biron","Martin","PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,30,20,0,9
20082009,"Martin Biron","Biron","Martin","PHI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,29,19,0,5
20092010,"Martin Biron","Biron","Martin","NYI","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,9,14,0,4
20102011,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,8,6,0,0
20112012,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,12,6,0,2
20122013,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,2,2,0,1
20132014,"Martin Biron","Biron","Martin","NYR","G","L","1977-08-15","LacStCharles","CAN","QC","CAN",74,186,1995,1,16,0,1,0,0
20082009,"Ben Bishop","Bishop","Ben","STL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,1,1,0,1
20102011,"Ben Bishop","Bishop","Ben","STL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,3,4,0,0
20112012,"Ben Bishop","Bishop","Ben","OTT","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,3,3,0,2
20122013,"Ben Bishop","Bishop","Ben","OTT, TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,11,9,0,1
20132014,"Ben Bishop","Bishop","Ben","TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,37,14,0,7
20142015,"Ben Bishop","Bishop","Ben","TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,40,13,0,5
20152016,"Ben Bishop","Bishop","Ben","TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,35,21,0,4
20022003,"Dan Blackburn","Blackburn","Dan","NYR","G","L","1983-05-20","Montreal","CAN","QC","CAN",73,180,2001,1,10,8,16,4,1
20102011,"Sergei Bobrovsky","Bobrovsky","Sergei","PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,28,13,0,8
20112012,"Sergei Bobrovsky","Bobrovsky","Sergei","PHI","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,14,10,0,2
20122013,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,21,11,0,6
20132014,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,32,20,0,5
20142015,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,30,17,0,3
20152016,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,15,19,0,1
20022003,"Brian Boucher","Boucher","Brian","PHX","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,15,20,8,4
20032004,"Brian Boucher","Boucher","Brian","PHX","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,10,19,10,3
20052006,"Brian Boucher","Boucher","Brian","PHX, CGY","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,4,8,0,0
20062007,"Brian Boucher","Boucher","Brian","CHI, CBJ","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,2,11,0,3
20072008,"Brian Boucher","Boucher","Brian","SJS","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,3,1,0,1
20082009,"Brian Boucher","Boucher","Brian","SJS","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,12,6,0,3
20092010,"Brian Boucher","Boucher","Brian","PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,9,18,0,3
20102011,"Brian Boucher","Boucher","Brian","PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,18,10,0,4
20112012,"Brian Boucher","Boucher","Brian","CAR","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,1,6,0,1
20122013,"Brian Boucher","Boucher","Brian","PHI","G","L","1977-01-02","Woonsocket","USA","RI","USA",74,200,1995,1,22,0,2,0,0
20022003,"Fred Brathwaite","Brathwaite","Fred","STL","G","L","1972-11-24","Ottawa","CAN","ON","CAN",67,185,NA,NA,NA,12,9,4,2
20032004,"Fred Brathwaite","Brathwaite","Fred","CBJ","G","L","1972-11-24","Ottawa","CAN","ON","CAN",67,185,NA,NA,NA,4,11,1,1
20032004,"Martin Brochu","Brochu","Martin","PIT","G","L","1973-03-10","Anjou","CAN","QC","CAN",72,199,NA,NA,NA,0,0,0,0
20022003,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,41,23,9,5
20032004,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,38,26,11,2
20052006,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,43,23,0,7
20062007,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,48,23,0,7
20072008,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,44,27,0,6
20082009,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,19,9,0,3
20092010,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,45,25,0,6
20102011,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,23,26,0,3
20112012,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,31,21,0,4
20122013,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,13,9,0,7
20132014,"Martin Brodeur","Brodeur","Martin","NJD","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,19,14,0,6
20142015,"Martin Brodeur","Brodeur","Martin","STL","G","L","1972-05-06","Montreal","CAN","QC","CAN",74,220,1990,1,20,3,3,0,0
20092010,"Mike Brodeur","Brodeur","Mike","OTT","G","L","1983-03-30","Calgary","CAN","AB","CAN",74,185,2003,7,211,3,0,0,0
20102011,"Mike Brodeur","Brodeur","Mike","OTT","G","L","1983-03-30","Calgary","CAN","AB","CAN",74,185,2003,7,211,0,1,0,0
20142015,"Laurent Brossoit","Brossoit","Laurent","EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,202,2011,6,164,0,1,0,0
20152016,"Laurent Brossoit","Brossoit","Laurent","EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,202,2011,6,164,0,4,0,1
20062007,"Barry Brust","Brust","Barry","LAK","G","L","1983-08-08","SwanRiver","CAN","MB","CAN",74,225,2002,3,73,2,4,0,1
20022003,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,0,0,0,0
20032004,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,1,0,0,0
20052006,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,13,12,0,1
20062007,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,10,8,0,6
20072008,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA, PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,28,25,0,6
20082009,"Ilya Bryzgalov","Bryzgalov","Ilya","PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,26,31,0,6
20092010,"Ilya Bryzgalov","Bryzgalov","Ilya","PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,42,20,0,6
20102011,"Ilya Bryzgalov","Bryzgalov","Ilya","PHX","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,36,20,0,10
20112012,"Ilya Bryzgalov","Bryzgalov","Ilya","PHI","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,33,16,0,7
20122013,"Ilya Bryzgalov","Bryzgalov","Ilya","PHI","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,19,17,0,3
20132014,"Ilya Bryzgalov","Bryzgalov","Ilya","EDM, MIN","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,12,9,0,8
20142015,"Ilya Bryzgalov","Bryzgalov","Ilya","ANA","G","L","1980-06-22","Togliatti","RUS",NA,"RUS",75,213,2000,2,44,1,4,0,1
20052006,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,14,10,0,6
20062007,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,31,16,0,6
20072008,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,16,10,0,4
20082009,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,20,29,0,5
20092010,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,5,5,0,2
20102011,"Peter Budaj","Budaj","Peter","COL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,15,21,0,4
20112012,"Peter Budaj","Budaj","Peter","MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,5,7,0,5
20122013,"Peter Budaj","Budaj","Peter","MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,8,1,0,1
20132014,"Peter Budaj","Budaj","Peter","MTL","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,10,8,0,3
20152016,"Peter Budaj","Budaj","Peter","LAK","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,1,0,0,0
20142015,"Tyler Bunz","Bunz","Tyler","EDM","G","L","1992-02-11","Regina","CAN","SK","CAN",73,205,2010,5,121,0,0,0,0
20022003,"Sean Burke","Burke","Sean","PHX","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,12,6,2,0
20032004,"Sean Burke","Burke","Sean","PHX, PHI","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,16,20,7,2
20052006,"Sean Burke","Burke","Sean","TBL","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,14,10,0,4
20062007,"Sean Burke","Burke","Sean","LAK","G","L","1967-01-29","Windsor","CAN","ON","CAN",76,209,1985,2,24,6,10,0,5
20132014,"Jack Campbell","Campbell","Jack","DAL","G","L","1992-01-09","PortHuron","USA","MI","USA",74,197,2010,1,11,0,1,0,0
20022003,"Sebastien Caron","Caron","Sebastien","PIT","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,7,14,2,0
20032004,"Sebastien Caron","Caron","Sebastien","PIT","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,9,24,5,2
20052006,"Sebastien Caron","Caron","Sebastien","PIT","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,8,9,0,5
20062007,"Sebastien Caron","Caron","Sebastien","CHI, ANA","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,1,0,0,0
20112012,"Sebastien Caron","Caron","Sebastien","TBL","G","L","1980-06-25","Amqui","CAN","QC","CAN",73,170,1999,3,86,1,1,0,0
20022003,"Frederic Cassivi","Cassivi","Frederic","ATL","G","L","1975-06-12","Sorel","CAN","QC","CAN",76,220,1994,9,210,1,1,0,0
20052006,"Frederic Cassivi","Cassivi","Frederic","WSH","G","L","1975-06-12","Sorel","CAN","QC","CAN",76,220,1994,9,210,0,1,0,0
20062007,"Frederic Cassivi","Cassivi","Frederic","WSH","G","L","1975-06-12","Sorel","CAN","QC","CAN",76,220,1994,9,210,0,1,0,1
20022003,"Roman Cechmanek","Cechmanek","Roman","PHI","G","L","1971-03-02","Gottwaldov","CZE",NA,"CZE",75,211,2000,6,171,33,15,10,2
20032004,"Roman Cechmanek","Cechmanek","Roman","LAK","G","L","1971-03-02","Gottwaldov","CZE",NA,"CZE",75,211,2000,6,171,18,21,6,6
20022003,"Sebastien Charpentier","Charpentier","Sebastien","WSH","G","L","1977-04-18","Drummondville","CAN","QC","CAN",69,190,1995,4,93,5,7,1,2
20032004,"Sebastien Charpentier","Charpentier","Sebastien","WSH","G","L","1977-04-18","Drummondville","CAN","QC","CAN",69,190,1995,4,93,0,6,0,0
20032004,"Andy Chiodo","Chiodo","Andy","PIT","G","L","1983-04-25","Toronto","CAN","ON","CAN",71,192,2003,7,199,3,4,1,0
20032004,"Mathieu Chouinard","Chouinard","Mathieu","LAK","G","L","1980-04-11","Laval","CAN","QC","CAN",73,211,2000,2,45,0,0,0,0
20022003,"Scott Clemmensen","Clemmensen","Scott","NJD","G","L","1977-07-23","DesMoines","USA","IA","USA",74,200,1997,8,215,0,0,0,0
